sale_id,customer_id,product_id,quantity,sale_date,payment_method,discount,returned
SALE50040,CUSTOMER21817,PROD1669,8,2024-11-18,PayPal,0.16,False
SALE50041,CUST14476,PROD1384,4,2025-07-07,Cash,0.1,False
SALE50042,CUST27447,PROD1153,9,2023-08-26,Debit Card,0.1,True
SALE50043,CUST21982,PROD1537,7,2025-05-20,PayPal,0.06,False
SALE50044,cust13443,PROD1339,8,2023-09-04,PayPal,0.06,True
SALE50045,cust18487,PROD1767,3,2024-08-30,PayPal,0.11,True
SALE50046,CUSTOMER13484,PROD1724,8,2024-04-04,Debit Card,0.17,False
SALE50047,CUST29445,PROD1514,9,2023-12-03,,0.04,False
SALE50048,CUSTOMER10003,PROD1294,1,2024-02-13,Debit Card,0.22,True
SALE50049,CUSTOMER26793,PROD1915,5,2024-04-12,Credit Card,0.26,False
SALE50050,CUST15914,PROD1661,6,2025-06-22,Cash,0.0,False
SALE50051,cust24673,PROD1815,6,2023-10-06,PayPal,0.02,False
SALE50052,CUST19112,PROD1601,3,2024-12-03,Credit Card,0.18,Fal...
SALE50053,CUST20390,PROD1557,7,2024-07-29,PayPal,0.04,True
SALE50054,cust24831,PROD1075,2,2023-10-31,Credit Card,0.04,text_True
SALE50055,CUSTOMER19016,PROD1108,1,2025-05-31,Cash,0.07,False
SALE50056,CUSTOMER22227,PROD1840,6,2025-07-17,Cash,0.24,False
SALE50057,cust23483,PROD1655,5,2025-02-04,Credit Card,0.12,False
SALE50058,CUSTOMER21435,PROD1264,2,2023-11-30,Cash,0.02,True
SALE50059,CUST29054,PROD1863,6,2023-10-14,PayPal,0.06,False
SALE50060,CUSTOMER29795,PROD1381,8,2025-07-08,Cash,0.2,True
SALE50061,CUST14920,PROD1498,4,2025-08-05,Debit Card,0.29,True
SALE50062,CUSTOMER22171,PROD1369,4,2024-10-21,Credit Card,0.27,False
SALE50063,CUSTOMER10583,PROD1540,1,2024-11-08,Debit Card,0.25,False
SALE50064,CUSTOMER25985,PROD1736,4,2024-02-13,Cash,0.03,True
SALE50065,CUST24071,PROD1470,4,2024-04-21,PayPal,0.07,True
SALE50066,cust16236,,7,0000-00-00,Debit Card,0.16,True
SALE50067,cust17435,PROD1916,4,2024-05-17,Cash,0.05,True
SALE50068,cust25566,PROD1544,1,2024-12-28,Debit Card,0.24,True
SALE50069,CUST17554,PROD1905,9,2024-02-28,Credit Card,0.26,True
SALE50070,CUSTOMER23614,PROD1418,4,2024-04-08,Cash,0.1,False
SALE50071,CUST19452,PROD1961,6,2025-08-09,Cash,0.28,True
SALE50072,cust16592,PROD1558,5,9999-99-99,PayPal,0.15,False
SALE50073,CUST22247,PROD1538,2,2025-03-30,Credit Card,0.11,False
SALE50074,CUST17556,PROD1030,7,2024-02-09,Debit Card,0.06,False
SALE50075,CUSTOMER26235,PROD1375,9,2025-02-14,Debit Card,0.04,True
SALE50076,CUST13677,PROD1049,8,2025-01-20,Debit Card,0.12,False
SALE50077,CUST15923,PROD1709,9,2024-05-16,Cash,0.28,True
SALE50078,,PROD1469,5,2024-03-12,Debit Card,0.12,True
SALE50079,CUST19568,PROD1308,4,2024-11-11,Cash,0.21,True
SALE50080,CUST22915,PROD1320,4,2024-01-01,PayPal,0.23,False
SALE50081,CUST17994,PROD1098,2,2024-04-10,Credit Card,0.16,True
SALE50082,CUST11737,PROD1126,3,2023-09-30,PayPal,0.24,False
SALE50083,CUSTOMER26352,PROD1341,5,2024-04-13,,0.27,True
SALE50084,CUST11967,PROD1182,9,2023-12-12,Credit Card,0.26,False
SALE50085,CUST11900,PROD1300,8,2024-10-30,PayPal,0.17,True
SALE50086,CUST29915,PROD1473,6,2024-07-05,PayPal,0.02,True
SALE50087,,PROD1835,9,2024-06-27,PayPal,0.19,True
SALE50088,CUSTOMER27381,PROD1076,1,2024-05-31,Cash,0.24,True
SALE50089,CUST16754,PROD1994,4,2024-05-21,Credit Card,0.18,False
SALE50090,CUST10679,PROD1539,2,2025-02-05,Cash,0.21,False
SALE50091,cust18431,PROD1758,1,2024-02-25,,0.16,False
SALE50092,CUST15626,PROD1450,7,2023-08-14,PayPal,0.0,True
SALE50093,CUST27671,PROD1765,5,2024-07-13,PayPal,0.03,False
SALE50094,CUSTOMER22862,PROD1086,7,2023-08-26,Debit Card,0.22,False
SALE50095,CUSTOMER17109,PROD1829,5,2023-12-05,Credit Card,0.02,False
SALE50096,CUSTOMER14889,,7,2024-12-22,Cash,0.2,False
SALE50097,cust17855,PROD1019,9,2023-08-24,Debit Card,0.17,True
SALE50098,CUST12170,PROD1669,7,2023-12-24,Credit Card,0.2,True
SALE50099,CUSTOMER11628,PROD1039,6,2023-11-01,Cash,0.12,False
SALE50100,CUST15803,PROD1024,8,2023-11-27,Cash,0.29,True
SALE50101,CUST23224,PROD1776,2,2024-10-04,,0.01,False
SALE50102,,PROD1203,9,2024-07-14,PayPal,0.2,False
SALE50103,,PROD1001,7,2023-12-29,Debit Card,0.19,False
SALE50104,CUST26291,PROD1921,1,2023-12-12,Credit Card,0.05,False
SALE50105,CUSTOMER19219,PROD1053,9,2025-01-01,Cash,0.1,True
SALE50106,CUST25632,PROD1251,2,2024-11-04,Credit Card,0.18,False
SALE50107,CUST18657,PROD1349,1,2025-02-16,Credit Card,0.05,True
SALE50108,CUSTOMER19543,PROD1675,3,2023-10-07,Credit Card,0.14,False
SALE50109,cust29765,PROD1136,8,2024-07-19,Credit Card,0.21,False
SALE50110,CUSTOMER16556,PROD1878,6,2023-02-30,PayPal,0.24,False
SALE50111,CUST22969,PROD1674,6,2025-03-10,Cash,2.8000000000000003,True
SALE50112,cust22892,PROD1486,90,2025-03-22,PayPal,0.09,True
SALE50113,CUST26072,PROD1332,9,2024-10-31,Cash,0.08,False
SALE50114,CUST17466,PROD1994,4,01/01/2023,Cash,0.23,False
SALE50115,CUST20673,,9,2023-10-28,Debit Card,0.14,False
SALE50116,CUST14709,PROD1474,3,2024-10-29,,0.28,False
SALE50117,,PROD1650,3,2024-06-18,Credit Card,0.21,Fal...
SALE50118,CUSTOMER23108,PROD1176,5,2025-05-14,Credit Card,0.27,True
SALE50119,CUSTOMER10527,PROD1542,3,2024-08-29,Cash,0.1,True
SALE50120,CUST27049,PROD1402,5,2025-05-17,Debit Card,0.08,True
SALE50121,cust18098,PROD1227,7,2024-05-15,Cash,0.25,False
SALE50122,CUSTOMER19761,PROD1131,9,2024-10-12,Credit Card,0.11,True
SALE50123,CUSTOMER11513,,6,2023-11-17,,0.21,False
SALE50124,CUSTOMER15471,PROD1639,4,2024-06-06,Credit Card,0.05,False
SALE50125,cust26632,PROD1313,2,2025-03-18,Cash,0.06,False
SALE50126,CUST29403,PROD1816,4,2024-12-20,Debit Card,0.29,False
SALE50127,CUSTOMER24945,PROD1860,1,2024-02-16,Cash,0.11,True
SALE50128,CUSTOMER19153,PROD1563,2,2024-01-22,Cash,0.28,True
SALE50129,CUST10123,PROD1504,9,2024-02-18,Credit Card,0.08,
SALE50130,CUST16941,PROD1899,8,2024-05-04,PayPal,0.29,True
SALE50131,CUST29173,PROD1797,2,2024-11-30,PayPal,0.02,False
SALE50132,CUSTOMER16669,PROD1714,2,2024-10-03,Credit Card,0.15,True
SALE50133,CUSTOMER18733,PROD1516,7,2025-03-22,Cash,0.03,Tru...
SALE50134,CUST22817,PROD1917,2,2024-06-30,PayPal,0.15,False
SALE50135,cust19162,PROD1245,3,2023-11-29,Cash,0.25,False
SALE50136,CUSTOMER25579,,2,2024-09-30,Credit Card,0.03,True
SALE50137,CUST29642,PROD1935,6,2024-11-10,Cash,0.21,True
SALE50138,CUSTOMER16434,PROD1775,6,2023-09-20,Credit Card,0.09,False
SALE50139,CUSTOMER21922,,9,2023-09-09,PayPal,0.28,True
SALE50140,CUST17175,PROD1734,1,2025-03-16,Credit Card,0.26,False
SALE50141,CUST21008,PROD1689,4,2024-11-04,Cash,0.19,False
SALE50142,CUST22765,PROD1042,1,2023-11-17,Cash,0.2,False
SALE50143,CUST15368,,8,2023-11-10,Debit Card,0.25,False
SALE50144,cust13447,PROD1151,1,2023-10-07,Credit Card,0.07,True
SALE50145,CUST20638,PROD1622,6,2025-07-05,PayPal,0.25,True
SALE50146,,PROD1517,2,2023-08-15,,0.21,False
SALE50147,CUSTOMER14900,PROD1310,1,2024-12-21,,0.18,True
SALE50148,CUSTOMER23656,PROD1737,1,2023-12-21,Credit Card,0.04,text_False
SALE50149,CUST14375,PROD1659,2,2024-09-24,PayPal,0.13,True
SALE50150,CUSTOMER23555,PROD1716,9,2024-09-17,Credit Card,0.21,False
SALE50151,CUSTOMER24895,PROD1377,8,2023-08-16,PayPal,0.05,False
SALE50152,CUST12656,PROD1660,3,2025-01-09,Credit Card,0.24,False
SALE50153,CUSTOMER27222,PROD1367,2,2024-06-04,Credit Card,0.02,True
SALE50154,cust27648,PROD1750,8,2025-06-23,,0.15,False
SALE50155,CUST29763,PROD1557,6,2025-07-12,Cash,0.12,True
SALE50156,CUSTOMER15177,PROD1188,5,2023-09-10,PayPal,0.24,False
SALE50157,CUST23418,,6,2025-05-19,Debit Card,0.11,True
SALE50158,CUSTOMER25650,PROD1516,2,2024-03-10,PayPal,0.12,True
SALE50159,CUST12015,PROD1072,8,2024-10-27,Cash,0.3,False
SALE50160,CUST12943,PROD1302,9,2024-12-07,PayPal,0.03,True
SALE50161,CUST16832,PROD1770,5,2025-06-16,Cash,0.29,False
SALE50162,CUST24127,PROD1413,2,2025-03-29,Credit Card,0.27,False
SALE50163,CUST12140,PROD1644,9,2024-09-23,Cash,0.05,True
SALE50164,cust29111,PROD1103,9,2024-07-28,Debit Card,0.12,True
SALE50165,CUSTOMER13022,PROD1476,5,2023-12-24,Debit Card,0.02,False
SALE50166,CUST23512,PROD1894,6,2024-06-09,PayPal,0.01,True
SALE50167,CUSTOMER22695,PROD1987,3,2025-07-07,PayPal,0.3,True
SALE50168,CUSTOMER24394,PROD1753,6,2025-03-11,Credit Card,0.17,True
SALE50169,CUST17169,PROD1171,6,2024-05-21,PayPal,0.13,True
SALE50170,cust16107,PROD1859,1,2023-12-31,Cash,0.24,False
SALE50171,CUSTOMER14666,PROD1876,1,2024-02-22,Debit Card,0.22,False
SALE50172,CUST13943,PROD1480,1,2024-12-03,PayPal,0.18,False
SALE50173,CUST24994,PROD1031,4,2023-11-24,Credit Card,0.19,False
SALE50174,CUSTOMER24674,PROD1085,3,2023-12-29,PayPal,0.18,True
SALE50175,CUST21426,PROD1568,8,2024-04-30,Cash,0.23,False
SALE50176,CUST29323,PROD1583,3,2024-06-27,Credit Card,0.01,True
SALE50177,CUST19075,PROD1119,7,2023-11-04,Cash,0.26,
SALE50178,CUST12195,PROD1214,7,2024-11-12,PayPal,0.3,False
SALE50179,cust19780,PROD1526,5,2024-04-16,Cash,0.14,False
SALE50180,CUST18694,PROD1571,4,2024-09-22,PayPal,0.01,True
SALE50181,cust25942,PROD1506,6,2024-12-10,Debit Card,0.02,True
SALE50182,CUST25700,PROD1799,3,2023-11-18,PayPal,0.03,False
SALE50183,CUST15842,PROD1128,1,2025-04-07,Cash,0.14,True
SALE50184,cust10790,PROD1116,2,2024-09-28,Debit Card,0.13,False
SALE50185,CUST19177,PROD1496,1,2023-12-30,PayPal,0.19,False
SALE50186,cust21194,PROD1690,1,2024-08-16,Debit Card,0.04,False
SALE50187,CUST17391,,7,2024-01-19,Credit Card,0.25,True
SALE50188,CUSTOMER17335,PROD1701,3,2023-11-15,,0.22,False
SALE50189,CUST24497,PROD1554,6,2025-03-09,Debit Card,0.06,True
SALE50190,,PROD1251,3,2024-04-05,Credit Card,0.04,False
SALE50191,CUSTOMER29293,PROD1412,7,2025-04-24,Debit Card,0.22,False
SALE50192,CUST24954,PROD1002,7,2025-06-25,PayPal,0.19,False
SALE50193,CUST29601,PROD1444,3,2023-10-22,Credit Card,0.11,True
SALE50194,cust13316,PROD1621,6,2025-08-05,Debit Card,0.29,True
SALE50195,CUST24260,PROD1389,2,2024-08-14,Debit Card,0.1,True
SALE50196,CUST14510,PROD1432,2,0000-00-00,PayPal,0.2,False
SALE50197,cust25079,PROD1869,7,2025-02-22,Credit Card,0.03,False
SALE50198,CUST23067,PROD1551,9,2024-11-19,Cash,0.03,
SALE50199,CUSTOMER14927,PROD1517,5,2024-10-31,Debit Card,0.17,False
SALE50200,CUST18953,PROD1769,8,2023-09-17,Credit Card,0.04,True
SALE50201,CUST18017,PROD1785,4,2024-08-23,Cash,0.08,False
SALE50202,CUSTOMER28861,PROD1279,1,2024-02-08,Cash,0.25,True
SALE50203,CUST23414,PROD1799,4,2024-02-19,Debit Card,0.04,False
SALE50204,CUSTOMER11638,PROD1257,7,2025-04-13,Cash,0.03,False
SALE50205,CUST23136,PROD1558,9,2024-03-06,Cash,0.2,True
SALE50206,CUST17234,PROD1504,6,2024-08-25,Cash,0.19,True
SALE50207,,PROD1599,4,2023-10-06,PayPal,0.03,False
SALE50208,CUST11265,PROD1294,6,2023-10-18,Credit Card,0.27,False
SALE50209,CUST25260,PROD1624,8,2023-09-22,Credit Card,0.3,text_False
SALE50210,CUST29316,PROD1248,1,2023-09-29,Credit Card,0.17,True
SALE50211,CUST27388,PROD1089,7,2023-10-12,Credit Card,0.08,True
SALE50212,cust15665,PROD1462,1,2023-11-03,Debit Card,0.08,True
SALE50213,CUST16809,PROD1198,1,2024-10-15,,0.17,False
SALE50214,,PROD1202,4,2025-02-12,PayPal,0.26,False
SALE50215,CUST28204,PROD1951,1,2024-12-23,PayPal,0.13,True
SALE50216,CUST29064,PROD1137,3,2023-12-11,Debit Card,0.12,True
SALE50217,CUST12497,PROD1133,1,2025-01-14,Credit Card,0.29,False
SALE50218,cust25528,PROD1029,1,2024-09-07,Cash,0.16,True
SALE50219,CUSTOMER26387,PROD1417,1,2024-01-23,Debit Card,0.12,True
SALE50220,cust26077,PROD1870,8,2025-07-31,Credit Card,0.24,False
SALE50221,CUST16702,PROD1179,3,2025-06-03,Credit Card,0.02,True
SALE50222,cust21959,PROD1285,3,2025-04-06,Debit Card,0.18,False
SALE50223,CUSTOMER23721,,3,2024-03-12,Cash,0.24,True
SALE50224,CUST17241,PROD1566,3,9999-99-99,Credit Card,0.21,True
SALE50225,,PROD1031,2,2024-03-16,Credit Card,0.26,True
SALE50226,CUSTOMER12433,PROD1474,3,2024-10-06,PayPal,0.04,False
SALE50227,CUST13553,PROD1164,5,2024-06-08,Debit Card,0.22,True
SALE50228,CUST26502,,7,2024-08-31,Cash,0.03,True
SALE50229,CUST24871,PROD1467,8,2024-03-22,Cash,0.2,True
SALE50230,CUST28157,PROD1291,4,2023-09-11,PayPal,0.22,True
SALE50231,cust13391,PROD1222,2,2024-11-29,Credit Card,0.29,True
SALE50232,CUST22584,PROD1343,9,2025-05-06,Cash,0.08,True
SALE50233,cust14652,PROD1857,5,2024-03-11,PayPal,0.04,False
SALE50234,,PROD1522,6,2025-01-02,Debit Card,0.22,True
SALE50235,CUST28795,PROD1694,9,2024-04-13,PayPal,0.29,False
SALE50236,cust27234,PROD1372,8,2024-03-18,PayPal,0.08,False
SALE50237,CUSTOMER25641,PROD1393,5,2024-10-04,PayPal,0.02,True
SALE50238,CUST24345,PROD1584,3,2024-08-03,PayPal,0.24,True
SALE50239,cust17204,PROD1216,2,2023-12-05,Credit Card,0.02,False
SALE50240,cust20759,PROD1876,6,2024-04-29,Cash,0.0,False
SALE50241,CUST13838,PROD1814,9,2024-03-28,PayPal,0.25,
SALE50242,CUSTOMER11568,PROD1799,8,2024-06-06,Cash,0.13,False
SALE50243,cust21575,PROD1130,9,2023-11-06,Cash,0.25,False
SALE50244,CUST25147,,5,2024-09-06,Cash,0.1,True
SALE50245,CUST16953,PROD1990,3,2025-04-20,Cash,0.01,True
SALE50246,CUST19793,PROD1500,9,2023-09-18,Credit Card,0.15,True
SALE50247,CUST19833,PROD1761,1,2024-12-24,Debit Card,0.01,False
SALE50248,CUST23497,PROD1939,3,2024-01-25,Debit Card,0.13,True
SALE50249,cust27148,PROD1996,1,2025-05-19,Debit Card,0.2,True
SALE50250,CUST21245,PROD1271,9,2025-06-07,PayPal,0.23,True
SALE50251,CUSTOMER10065,PROD1978,6,2024-09-17,Credit Card,0.05,
SALE50252,CUSTOMER11207,PROD1719,7,2024-12-26,PayPal,0.09,False
SALE50253,CUST19639,PROD1251,8,2024-12-29,Credit Card,0.03,False
SALE50254,CUST24691,PROD1913,5,2025-08-09,Credit Card,0.6,False
SALE50255,,PROD1784,20,2023-11-28,Credit Card,0.06,True
SALE50256,CUST24962,PROD1296,6,2024-02-12,Credit Card,0.12,False
SALE50257,CUST29411,PROD1140,8,2024-11-29,PayPal,0.24,False
SALE50258,CUSTOMER15363,PROD1891,4,2023-11-18,,0.23,False
SALE50259,,PROD1053,5,2024-11-25,Debit Card,0.18,False
SALE50260,,PROD1988,9,2024-01-24,PayPal,0.17,False
SALE50261,CUST23063,PROD1831,6,2024-11-22,PayPal,0.19,False
SALE50262,CUSTOMER13249,PROD1338,3,2025-05-01,Credit Card,0.16,True
SALE50263,cust22712,PROD1017,2,2023-10-18,,0.24,False
SALE50264,cust23486,PROD1166,5,2024-08-18,Debit Card,0.1,True
SALE50265,CUST15052,PROD1293,5,2024-07-25,Credit Card,0.3,True
SALE50266,CUST29973,PROD1056,5,2024-11-30,Debit Card,0.04,True
SALE50267,CUST11329,PROD1835,6,2025-06-05,Cash,0.14,True
SALE50268,CUST27846,PROD1597,6,2023-11-11,PayPal,0.24,False
SALE50269,CUST24578,PROD1851,4,2025-03-27,PayPal,0.05,False
SALE50270,,PROD1005,6,2024-04-23,PayPal,0.27,True
SALE50271,CUST14349,PROD1361,9,2024-06-07,Debit Card,0.24,False
SALE50272,CUST28661,PROD1042,6,2024-10-29,Debit Card,0.04,True
SALE50273,cust22900,PROD1572,3,2024-10-09,Cash,0.02,True
SALE50274,CUST27684,,1,2024-12-26,Cash,0.02,True
SALE50275,cust22559,PROD1215,9,2024-11-29,Debit Card,0.03,False
SALE50276,cust17612,PROD1727,8,2024-09-27,Cash,0.08,False
SALE50277,CUST23987,PROD1873,3,2025-01-04,PayPal,0.1,False
SALE50278,CUST26053,PROD1974,7,2023-09-15,Debit Card,0.18,True
SALE50279,cust24841,,7,2024-08-03,Cash,0.2,False
SALE50280,cust24014,PROD1291,9,2023-10-08,Cash,0.17,False
SALE50281,,PROD1356,9,2024-05-26,Credit Card,0.27,False
SALE50282,CUST22293,PROD1058,6,2024-08-24,,0.13,False
SALE50283,cust22638,PROD1200,1,2023-09-23,Cash,0.02,False
SALE50284,CUST17546,PROD1876,2,2024-10-19,Debit Card,0.09,False
SALE50285,CUST22194,PROD1853,3,2024-06-25,Cash,0.05,True
SALE50286,cust14197,PROD1462,6,2025-07-20,Credit Card,0.04,False
SALE50287,CUSTOMER25568,PROD1830,7,2024-11-01,Debit Card,0.25,True
SALE50288,CUST17821,PROD1238,7,2025-01-03,Cash,0.22,True
SALE50289,CUSTOMER23206,PROD1381,5,2024-12-07,Debit Card,0.07,False
SALE50290,CUSTOMER10375,PROD1012,8,2023-10-14,Cash,0.3,True
SALE50291,CUST10605,PROD1622,9,2024-11-08,Debit Card,0.07,False
SALE50292,cust24838,PROD1183,8,2024-02-13,Credit Card,0.05,True
SALE50293,CUST21837,PROD1905,6,2023-10-29,Cash,0.11,False
SALE50294,cust22051,PROD1901,8,2025-03-18,Debit Card,0.05,False
SALE50295,cust10366,,8,2025-05-24,Debit Card,0.08,True
SALE50296,,PROD1393,3,2024-06-24,Credit Card,0.11,False
SALE50297,CUST10296,,7,2024-03-22,PayPal,0.04,False
SALE50298,CUST28313,PROD1796,5,2025-02-13,PayPal,0.15,False
SALE50299,CUST19034,PROD1581,5,2025-04-27,Cash,0.01,False
SALE50300,CUST13743,PROD1176,4,2025-07-10,PayPal,0.23,False
SALE50301,CUST16414,PROD1351,7,2023-11-06,Cash,0.1,True
SALE50302,CUST26723,PROD1714,3,2024-01-09,Cash,0.07,False
SALE50303,CUST17583,PROD1937,20,2023-09-08,Debit Card,0.05,True
SALE50304,CUSTOMER26400,PROD1703,5,2023-08-24,Debit Card,0.11,True
SALE50305,CUST28799,PROD1740,7,2025-01-02,PayPal,0.1,True
SALE50306,CUST11667,,8,2024-12-12,,0.17,True
SALE50307,CUSTOMER13202,PROD1661,4,2024-07-14,Debit Card,0.26,True
SALE50308,CUSTOMER12173,PROD1165,5,2024-05-14,Cash,0.13,False
SALE50309,CUSTOMER25054,PROD1436,4,2023-09-22,Credit Card,0.23,True
SALE50310,CUST20399,PROD1069,4,2024-06-29,PayPal,0.22,False
SALE50311,CUST14888,PROD1483,1,01/01/2023,PayPal,0.3,False
SALE50312,,PROD1380,6,2023-12-22,Credit Card,0.16,False
SALE50313,CUST14294,PROD1085,9,2025-02-07,,0.3,True
SALE50314,CUST10146,PROD1375,1,2024-11-02,PayPal,0.13,
SALE50315,cust25372,PROD1868,7,2023-09-03,Debit Card,0.05,True
SALE50316,CUSTOMER29570,PROD1261,2,2023-10-25,Debit Card,0.09,True
SALE50317,CUST10393,PROD1088,5,2024-01-10,Credit Card,0.1,False
SALE50318,CUST26294,PROD1535,2,2024-12-05,Debit Card,0.17,True
SALE50319,CUST25838,,2,2024-08-06,Credit Card,0.22,True
SALE50320,CUST29028,PROD1557,3,2024-07-16,Credit Card,0.01,True
SALE50321,CUSTOMER26466,PROD1666,7,2024-05-22,Debit Card,0.29,False
SALE50322,CUST27597,PROD1139,5,2025-03-30,PayPal,0.07,False
SALE50323,CUST23172,PROD1906,2,2024-10-26,Debit Card,0.04,False
SALE50324,CUST14050,PROD1727,5,2023-09-13,PayPal,0.2,True
SALE50325,cust26924,PROD1182,5,2024-01-03,Debit Card,0.01,False
SALE50326,cust15707,PROD1955,1,2024-01-11,Debit Card,0.15,True
SALE50327,CUST22244,PROD1703,9,2025-08-07,PayPal,0.2,False
SALE50328,,PROD1519,9,2025-07-31,PayPal,0.03,True
SALE50329,CUST12248,PROD1462,7,2025-01-09,Cash,0.24,False
SALE50330,CUST23572,PROD1032,7,2024-03-25,Credit Card,0.2,True
SALE50331,CUST23972,PROD1056,3,2023-11-14,Debit Card,0.14,True
SALE50332,,PROD1146,7,2024-01-10,PayPal,0.27,True
SALE50333,cust11315,PROD1069,8,2024-05-07,PayPal,0.1,False
SALE50334,CUST15606,PROD1883,9,2023-11-29,Cash,0.01,True
SALE50335,CUST28096,PROD1222,6,2023-11-02,Cash,0.23,True
SALE50336,,PROD1439,2,2024-11-27,Cash,0.3,True
SALE50337,,PROD1768,7,2024-09-19,Debit Card,0.24,True
SALE50338,CUST28382,PROD1666,8,2023-12-24,Cash,0.06,False
SALE50339,CUSTOMER10856,PROD1090,7,not a date,PayPal,0.21,False
SALE50340,,PROD1221,8,2024-05-15,,0.0,True
SALE50341,CUST15599,PROD1617,1,2023-11-27,PayPal,0.02,True
SALE50342,CUSTOMER15883,PROD1592,6,2024-11-25,PayPal,0.08,False
SALE50343,cust19859,PROD1581,3,2025-01-04,,0.18,True
SALE50344,,PROD1803,3,2024-02-26,PayPal,0.13,False
SALE50345,CUSTOMER22711,PROD1174,3,2024-12-24,Debit Card,0.22,False
SALE50346,CUST24192,PROD1213,7,2024-04-26,PayPal,0.12,True
SALE50347,cust12732,PROD1158,2,2024-11-13,Debit Card,0.29,False
SALE50348,CUSTOMER23540,PROD1953,2,2023-11-09,Credit Card,0.02,False
SALE50349,CUST20674,PROD1221,1,2024-04-23,PayPal,0.25,False
SALE50350,CUST13030,PROD1600,4,2023-10-30,PayPal,0.24,True
SALE50351,,PROD1697,2,2024-06-13,Debit Card,0.19,True
SALE50352,CUST21776,PROD1516,1,2023-09-10,PayPal,0.07,False
SALE50353,CUSTOMER28400,PROD1731,8,2025-01-17,Debit Card,0.26,True
SALE50354,cust24185,PROD1454,6,2024-09-04,PayPal,0.02,True
SALE50355,CUST23041,PROD1850,1,2023-09-10,Cash,0.28,False
SALE50356,,PROD1733,1,2023-11-23,PayPal,0.2,True
SALE50357,CUST16002,PROD1286,4,2025-02-21,PayPal,2.5,False
SALE50358,CUSTOMER23219,PROD1993,70,2025-01-16,Debit Card,0.2,False
SALE50359,CUSTOMER21628,PROD1693,30,2023-12-01,Debit Card,0.18,True
SALE50360,CUST26314,PROD1659,6,2024-07-27,,0.16,True
SALE50361,CUST11719,PROD1296,8,2023-08-15,Debit Card,0.19,False
SALE50362,,PROD1336,1,2024-06-21,PayPal,0.25,True
SALE50363,CUST17156,PROD1097,6,2024-11-04,Credit Card,0.12,False
SALE50364,CUSTOMER27841,PROD1952,7,not a date,PayPal,0.28,True
